  Test Start Time: Wed Aug 23 16:29:44 2017
-----------------------------------------
Testcase                       Result     Exit Value
socketpair02                   PASS       0    
sockioctl01                    FAIL       1    
splice01                       PASS       0    
splice02                       PASS       0    
splice03                       PASS       0    
tee01                          PASS       0    
tee02                          PASS       0    
ssetmask01                     CONF       32   
stat01                         PASS       0    
stat01_64                      PASS       0    
stat02                         PASS       0    
stat02_64                      PASS       0    
stat03                         PASS       0    
stat03_64                      PASS       0    
stat04                         PASS       0    
stat04_64                      PASS       0    
stat05                         PASS       0    
stat05_64                      PASS       0    
stat06                         PASS       0    
stat06_64                      PASS       0    
statfs01                       PASS       0    
statfs01_64                    PASS       0    
statfs02                       PASS       0    
statfs02_64                    PASS       0    
statfs03                       PASS       0    
statfs03_64                    PASS       0    
statvfs01                      PASS       0    
statvfs02                      PASS       0    
stime01                        FAIL       1    
stime02                        PASS       0    
string01                       PASS       0    
swapoff01                      CONF       32   
swapoff02                      CONF       32   
swapon01                       CONF       32   
swapon02                       CONF       32   
swapon03                       FAIL       1    
switch01                       CONF       32   
symlink01                      PASS       0    
symlink02                      PASS       0    
symlink03                      PASS       0    
symlink04                      PASS       0    
symlink05                      PASS       0    
symlinkat01                    PASS       0    
sync01                         PASS       0    
sync02                         PASS       0    
sync_file_range01              CONF       32   
syscall01                      PASS       0    
sysconf01                      CONF       32   
sysctl01                       CONF       32   
sysctl03                       CONF       32   
